	Sachin Tendulkar	Rahul Dravid	India
0	100	78	342
1	11	62	191
2	8	85	252
3	71	24	307
4	104	17	229
5	18	104	246
6	8	76	226
7	86	74	288
8	12	60	216
9	85	12	224
10	18	63	161
11	4	107	276
12	7	76	283
13	37	4	297
14	14	5	139
15	0	33	224
16	4	7	178
17	0	0	0
18	21	36	193
19	1	66	231
20	62	0	134
21	0	123	246
22	138	39	299
23	38	9	242
24	2	11	214
25	46	14	152
26	65	0	104
27	0	0	4
28	39	26	155
29	48	4	168
30	141	48	282
31	62	7	228
32	12	73	231
33	1	86	238
34	41	32	255
35	11	82	273
36	3	25	143
37	186	153	345
38	11	26	134
39	27	1	292
40	27	6	299
41	51	3	233
42	18	1	332
43	32	39	276
44	146	30	264
45	5	32	213
46	45	84	224
47	141	36	306
48	12	31	259
49	65	0	141
50	27	47	155
51	7	13	183
52	16	49	309
53	2	28	208
54	28	0	124
55	6	28	208
56	123	19	305
57	120	13	273
58	7	14	186
59	3	11	163
60	0	103	239
61	81	43	274
62	2	5	182
63	54	5	256
64	122	15	227
65	4	0	157
66	14	5	353
67	0	30	271
68	100	4	211
69	15	53	141
70	0	60	243
71	57	7	499
72	99	74	229
73	37	71	234
74	38	54	259
75	32	13	242
76	21	69	223
77	32	33	184
78	40	29	125
79	0	2	195
80	5	8	154
81	8	36	142
82	5	51	197
83	0	8	213
84	50	62	256
85	30	0	197
86	37	22	177
87	89	39	167
88	4	104	366
89	98	44	269
90	83	1	292
91	93	2	218
92	0	0	0
93	52	17	199
94	152	0	319
95	1	14	245
96	8	62	274
97	93	15	208
98	45	68	201
99	26	17	275
100	0	0	134
101	1	22	68
102	0	25	149
103	16	29	216
104	47	60	407
105	89	34	302
106	3	65	197
107	1	3	222
108	53	7	224
109	16	16	321
110	0	0	0
111	81	4	162
112	14	53	221
113	78	5	204
114	6	23	213
115	105	82	286
116	122	3	272
117	9	0	382
118	8	20	229
119	28	21	175
120	35	80	360
121	69	22	256
122	13	8	165
123	97	18	335
124	93	24	188
125	2	50	146
126	36	1	113
127	39	42	241
128	2	61	211
129	29	0	225
130	12	6	35
131	19	64	163
132	34	9	200
133	2	46	176
134	100	0	269
135	44	0	284
136	82	0	175
137	0	0	27
138	79	13	282
139	6	0	141
140	9	72	229
141	8	12	213
142	23	38	205
143	93	79	279
144	35	18	88
145	63	16	284
146	74	16	207
147	8	56	224
148	117	21	204
149	39	58	280
150	49	8	197
151	64	0	205
152	43	0	230
153	72	7	323
154	5	13	209
155	17	77	210
156	0	29	162
157	65	20	272
158	20	90	251
159	141	26	286
160	28	54	228
161	44	17	148
162	27	78	272
163	60	57	309
164	68	59	202
165	3	10	136
166	139	15	281
167	31	54	314
168	2	52	419
169	44	9	229
170	47	0	133
171	6	18	228
172	17	3	143
173	35	4	116
174	88	6	194
175	114	16	249
176	7	71	319
177	127	64	205
178	0	7	191
179	45	61	213
180	33	1	104
181	110	7	210
182	146	0	392
183	7	0	57
184	25	26	213
185	9	19	158
186	2	63	163
187	11	3	166
188	17	46	164
189	14	31	238
190	1	12	118
191	45	49	189
192	94	4	346
193	28	99	390
194	4	47	319
195	62	56	276
196	1	73	324
197	9	74	213
198	67	31	207
199	10	29	158
200	99	92	304
201	55	1	199
202	0	0	0
203	1	30	195
204	101	16	207
205	2	145	352
206	1	22	225
207	16	31	236
208	140	104	301
209	23	20	136
210	113	13	327
211	10	52	296
212	1	31	176
213	41	12	201
214	1	50	171
215	28	3	191
216	2	9	11
217	22	53	211
218	29	49	225
219	1	21	290
220	25	14	101
221	102	50	470
222	0	22	165
223	27	0	192
224	40	0	213
