"Date","Open","High","Low","Close"
"31 Dec 2018","10913.20","10923.55","10853.20","10862.55"
"28 Dec 2018","10820.95","10893.60","10817.15","10859.90"
"27 Dec 2018","10817.90","10834.20","10764.45","10779.80"
"26 Dec 2018","10635.45","10747.50","10534.55","10729.85"
"24 Dec 2018","10780.90","10782.30","10649.25","10663.50"
"21 Dec 2018","10944.25","10963.65","10738.65","10754.00"
"20 Dec 2018","10885.20","10962.55","10880.05","10951.70"
"19 Dec 2018","10930.55","10985.15","10928.00","10967.30"
"18 Dec 2018","10850.90","10915.40","10819.10","10908.70"
"17 Dec 2018","10853.20","10900.35","10844.85","10888.35"
"14 Dec 2018","10784.50","10815.75","10752.10","10805.45"
"13 Dec 2018","10810.75","10838.60","10749.50","10791.55"
"12 Dec 2018","10591.00","10752.20","10560.80","10737.60"
"11 Dec 2018","10350.05","10567.15","10333.85","10549.15"
"10 Dec 2018","10508.70","10558.85","10474.95","10488.45"
"07 Dec 2018","10644.80","10704.55","10599.35","10693.70"
"06 Dec 2018","10718.15","10722.65","10588.25","10601.15"
"05 Dec 2018","10820.45","10821.05","10747.95","10782.90"
"04 Dec 2018","10877.10","10890.95","10833.35","10869.50"
"03 Dec 2018","10930.70","10941.20","10845.35","10883.75"
"30 Nov 2018","10892.10","10922.45","10835.10","10876.75"
"29 Nov 2018","10808.70","10883.05","10782.35","10858.70"
"28 Nov 2018","10708.75","10757.80","10699.85","10728.85"
"27 Nov 2018","10621.45","10695.15","10596.35","10685.60"
"26 Nov 2018","10568.30","10637.80","10489.75","10628.60"
"22 Nov 2018","10612.65","10646.25","10512.00","10526.75"
"21 Nov 2018","10670.95","10671.30","10562.35","10600.05"
"20 Nov 2018","10740.10","10740.85","10640.85","10656.20"
"19 Nov 2018","10731.25","10774.70","10688.80","10763.40"
"16 Nov 2018","10644.00","10695.15","10631.15","10682.20"
"15 Nov 2018","10580.60","10646.50","10557.50","10616.70"
"14 Nov 2018","10634.90","10651.60","10532.70","10576.30"
"13 Nov 2018","10451.90","10596.25","10440.55","10582.50"
"12 Nov 2018","10607.80","10645.50","10464.05","10482.20"
"09 Nov 2018","10614.70","10619.55","10544.85","10585.20"
"07 Nov 2018","10614.45","10616.45","10582.30","10598.40"
"06 Nov 2018","10552.00","10600.25","10491.45","10530.00"
"05 Nov 2018","10558.75","10558.80","10477.00","10524.00"
"02 Nov 2018","10462.30","10606.95","10457.70","10553.00"
"01 Nov 2018","10441.70","10441.90","10341.90","10380.45"
"31 Oct 2018","10209.55","10396.00","10105.10","10386.60"
"30 Oct 2018","10239.40","10285.10","10175.35","10198.40"
"29 Oct 2018","10078.10","10275.30","10020.35","10250.85"
"26 Oct 2018","10122.35","10128.85","10004.55","10030.00"
"25 Oct 2018","10135.05","10166.60","10079.30","10124.90"
"24 Oct 2018","10278.15","10290.65","10126.70","10224.75"
"23 Oct 2018","10152.60","10222.10","10102.35","10146.80"
"22 Oct 2018","10405.85","10408.55","10224.00","10245.25"
"19 Oct 2018","10339.70","10380.10","10249.60","10303.55"
"17 Oct 2018","10688.70","10710.15","10436.45","10453.05"
"16 Oct 2018","10550.15","10604.90","10525.30","10584.75"
"15 Oct 2018","10524.20","10526.30","10410.15","10512.50"
"12 Oct 2018","10331.55","10492.45","10322.15","10472.50"
"11 Oct 2018","10169.80","10335.95","10138.60","10234.65"
"10 Oct 2018","10331.85","10482.35","10318.25","10460.10"
"09 Oct 2018","10390.30","10397.60","10279.35","10301.05"
