"Date","Open","High","Low","Close"
"31 Dec 2019","28495.00","28549.50","28270.25","28307.55"
"30 Dec 2019","28528.95","28612.95","28406.70","28484.85"
"27 Dec 2019","28354.50","28500.25","28319.90","28476.80"
"26 Dec 2019","28409.10","28435.25","28259.75","28280.25"
"24 Dec 2019","28423.70","28430.40","28318.75","28382.85"
"23 Dec 2019","28383.55","28523.10","28262.80","28395.75"
"20 Dec 2019","28282.25","28436.35","28270.95","28406.25"
"19 Dec 2019","28154.00","28287.10","28142.80","28245.30"
"18 Dec 2019","28086.15","28171.30","27908.90","28138.20"
"17 Dec 2019","27977.4","28066.3","27921","28031.75"
"16 Dec 2019","28095.90","28121.60","27896.00","27915.25"
"13 Dec 2019","27906.20","28102.00","27893.30","28076.70"
"12 Dec 2019","27734.30","27880.00","27675.25","27793.80"
"11 Dec 2019","27509.7","27629.1","27347.3","27594.25"
"10 Dec 2019","27786.45","27857.05","27430","27463.65"
"09 Dec 2019","27870.3","27989.35","27705","27758.05"
"06 Dec 2019","28221.20","28264.95","27741.55","27854.05"
"05 Dec 2019","28337.9","28399.85","28094.75","28145.55"
"04 Dec 2019","28239.1","28400.35","28187.05","28364.2"
"03 Dec 2019","28608.45","28611.35","28265.15","28333.2"
"02 Dec 2019","28581.05","28592.10","28378.00","28539.45"
"29 Nov 2019","28798.05","28906.60","28468.05","28546.45"
"28 Nov 2019","28500.85","28835.35","28454.95","28765.60"
"27 Nov 2019","28357.40","28497.95","28295.30","28468.70"
"26 Nov 2019","28554.30","28673.45","28162.10","28264.05"
"25 Nov 2019","28090.05","28475.20","28084.35","28443.50"
"22 Nov 2019","28157.70","28177.65","27972.15","28059.20"
"21 Nov 2019","28360.80","28360.80","28099.30","28132.60"
"20 Nov 2019","28178.70","28349.65","28164.65","28245.95"
"19 Nov 2019","28152.10","28174.95","28006.70","28071.90"
"18 Nov 2019","28262.15","28302.75","28119.45","28154.00"
"15 Nov 2019","28266.65","28329.30","28103.65","28195.55"
"14 Nov 2019","28324.65","28327.35","28077.95","28175.60"
"13 Nov 2019","28535.85","28746.45","28214.20","28298.60"
"11 Nov 2019","28323.90","28560.75","28296.00","28451.15"
"08 Nov 2019","28721.40","28810.90","28342.05","28387.25"
"07 Nov 2019","28673.15","28735.60","28579.20","28686.25"
"06 Nov 2019","28449.60","28613.10","28292.60","28534.20"
"05 Nov 2019","28670.85","28695.70","28375.10","28442.35"
"04 Nov 2019","28760.05","28913.90","28608.70","28652.90"
"01 Nov 2019","28794.25","28953.7","28671.05","28706.55"
"31 Oct 2019","28757.75","28883.15","28647.75","28722.10"
"30 Oct 2019","28557.60","28738.60","28491.60","28636.40"
"29 Oct 2019","28105.35","28480.25","28049.95","28447.60"
"27 Oct 2019","28145.40","28197.65","28067.60","28123.20"
"25 Oct 2019","28054.65","28089.45","27767.75","27959.55"
"24 Oct 2019","28220.75","28291.60","27932.95","28045.25"
"23 Oct 2019","28202.65","28326.05","28007.75","28140.45"
"22 Oct 2019","28088.00","28379.95","28049.40","28163.95"
"18 Oct 2019","27665.20","28065.10","27605.50","28014.15"
"17 Oct 2019","27275.60","27650.60","27230.80","27627.60"
"16 Oct 2019","27085.10","27285.25","27041.90","27240.55"
"15 Oct 2019","26829.75","27052.60","26803.25","27010.60"
"14 Oct 2019","26679.60","26899.80","26622.70","26791.60"
"11 Oct 2019","26556.80","26699.10","26385.15","26598.60"
"10 Oct 2019","26575.80","26684.00","26421.40","26492.85"
"09 Oct 2019","26320.90","26681.25","26169.05","26660.30"
"07 Oct 2019","26651.80","26680.45","26256.70","26295.05"
"04 Oct 2019","27136.25","27180.50","26641.10","26681.60"
"03 Oct 2019","27151.60","27285.35","26924.30","27023.20"
"01 Oct 2019","27630.50","27758.65","26901.80","27249.85"
"30 Sep 2019","27794.40","27807.70","27380.10","27520.30"
"27 Sep 2019","27790.70","27955.20","27710.05","27818.10"
"26 Sep 2019","27517.60","27929.35","27512.95","27811.00"
"25 Sep 2019","27874.15","27891.95","27408.60","27484.50"
"24 Sep 2019","27972.20","28030.40","27679.35","27942.55"
"23 Sep 2019","27841.7","28152.15","27731.2","27912.35"
"20 Sep 2019","26026.45","27476.35","25812.05","27406.85"
"19 Sep 2019","26178.70","26189.00","25814.75","25922.10"
"18 Sep 2019","26127.30","26193.10","25948.10","26149.90"
